Index,Category,Class,Class Number
0,Balusters,Other,0
1,Specialty Equipment,Other,0
2,Windows,Window,1
3,Doors,Door,2
4,Furniture,Other,0
5,Pipe Accessories,Other,0
6,Plumbing Fixtures,Other,0
7,Mechanical Equipment,Other,0
8,Electrical Equipment,Other,0
9,Generic Models,Other,0
10,Furniture Systems,Other,0
11,Landings,Other,0
12,Floors,Floor,3
13,Floor,Floor,3
14,Columns,Other,0
15,Railings,Other,0
16,Roof Soffits,Roof,4
17,Runs,Other,0
18,Structural Columns,Other,0
19,Guide Grid,Other,0
20,Stairs,Floor,3
21,Curtain Wall Mullions,Wall,5
22,Pipes,Other,0
23,Walls,Wall,5
24,Curtain Panels,Wall,5
25,Supports,Other,0
26,Top Rails,Other,0
27,Gutters,Other,0
28,Structural Framing,Other,0
29,Ceilings,Ceiling,6
30,Ramps,Floor,3
31,Toposolid,Other,0
32,Roofs,Roof,4
33,Casework,Other,0
34,Fascias,Other,0
35,Spaces,Other,0
36,Handrails,Other,0
